content_id,name,rarity,element,role,path,cp_init,hp_init,atk_init,def_init,agl_init,crt_init,cp_max,hp_max,atk_max,def_max,agl_max,crt_max,auto_text,tap_text,tap_ignited,slide_text,slide_ignited,drive_text,drive_ignited,leader_text
591546,纠缠的薇薇安,5星,光,辅助型,图鉴资料 / 5星天子：光 / 纠缠的薇薇安 ,,,,,,,,,,,,,对目标造成102（691）自动攻击伤害,对目标造成403（2589）伤害1次完全充能：1名盟友（高攻击力）优先60（90.4）%概率减益效果时间缩短：14秒内，1名盟友（高攻击力）优先-20（42.8）%,对目标造成2614伤害1次 完全充能：2名盟友（高攻击力）优先90.4%概率 减益效果时间缩短：14秒内，2名盟友（高攻击力）优先-47.8%,对2名暗属性敌人优先造成740（4061）伤害1次skill充能加速：16秒内，3名光属性盟友（高攻击力）+45（88.5）%弱化减益无效：14秒内，3名光属性盟友（高攻击力）70（90.1）%概率暴击率↑：16秒内，1名光属性盟友（PVP、攻击型）+50（72.1）%,对2名暗属性敌人优先造成4161伤害1次 skill充能加速：2回合内，3名光属性盟友（高攻击力）+88.5% 弱化减益无效：14秒内，3名光属性盟友（高攻击力）90.1%概率 暴击率↑：16秒内，2名光属性盟友（PVP、攻击型）+72.1%,对3名暗属性敌人优先造成1907（6987）伤害1次完全充能：3名盟友（skill充能忠）优先80%概率,对3名暗属性敌人优先造成7317伤害1次 完全充能：3名盟友（skill充能忠）优先80%概率移除减益效果：3名盟友（skill充能中）优先100%概率,skill充能加速：永远套用所有光属性盟友20%减益效果时间缩短：永远套用所有光属性盟友（PVP）-15%
591541,混沌的彼列,5星,光,治疗型,图鉴资料 / 5星天子：光 / 混沌的彼列,,,,,,,,,,,,,对目标造成97（664）自动攻击伤害,对2名敌人（低HP）造成345（2360）伤害1次最大HP↑：10秒内，2名盟友（低HP）+1200（1960）,对2名敌人（低HP）造成2360伤害1次 最大HP↑：14秒内，3名盟友（低HP）+2160,不死：14秒内，3名盟友（低HP）56（95）%概率生命连接：14秒内，3名盟友（低HP）优先+20（50.5）%减益效果无效：14秒内1次，3名盟友（PVP、低HP）100%概率,不死：14秒内，3名盟友（低HP）100%概率 生命连接：14秒内，3名盟友（低HP）优先+55.5% 减益效果无效：14秒内2次，3名盟友（PVP、低HP）100%概率,对2名敌人（低HP）优先造成1619（6159）伤害1次最大HP↑：20秒内，3名盟友（低HP）+1800生命连接：20秒内，3名盟友（低HP）+50%,对3名敌人（低HP）优先造成6159伤害1次 最大HP↑：20秒内，4名盟友（低HP）+2000生命连接：20秒内，4名盟友（低HP）+50%,最大HP↑：永远套用所有光属性盟友+1000起始效果：对自身100%概率减益效果无效：500秒内1次，2名光属性盟友（低HP）100%概率
589618,大力无双哈索尔,5星,光,攻击型,图鉴资料 / 5星天子：光 / 大力无双哈索尔,,,,,,,,,,,,,对目标造成114（754）伤害1次,对目标造成449（105%）（3399（155.6%））伤害1次伤害加成：1名暗属性敌人350（855）伤害量,对目标造成3509（160.6%）伤害1次 伤害加成：1名暗属性敌人350（855）伤害量,对1名暗属性敌人优先造成967（3005）伤害3次，仅限于攻击目标无视防御伤害：对攻击对象680（1496）伤害量依据每个增益造成加成伤害：1名暗属性敌人（5人巨型Boss）500（1053）伤害量,对1名暗属性敌人优先造成3205伤害4次，仅限于攻击目标 无视防御伤害：对攻击对象1516伤害量 依据每个增益造成加成伤害：1名暗属性敌人（5人巨型Boss）1103伤害量,对4名敌人（低HP）造成2772（8797）伤害1次双刃剑：对自身+80%20秒内,对4名敌人（低HP）造成9457伤害1次 双刃剑：对自身+95%2回合内,攻击力：永远套用所有光属性盟友+15%冷却时间减少：永远套用所有光属性盟友（5人巨型Boss）-1秒
582289,服从的钵里,5星,光,辅助型,图鉴资料 / 5星天子：光 / 服从的钵里,,,,,,,,,,,,,对目标造成101（689）自动攻击伤害,造成398（2567）伤害，有70%（90.1%）的几率无效2名盟友（最低HP）的眩晕或重击，持续8秒,造成2592伤害，有90.1%的几率无效2名盟友（最低HP）的眩晕或重击，持续10秒,对随机2名敌人造成734（4032）伤害，赋予3名光属性盟友回避率+20%（+51.8%），持续16秒，及赋予两名光属性盟友减益无效（16秒后或是受到一次减益攻击后取消）,对随机2名敌人造成4132伤害，赋予3名光属性盟友回避率+56.8%，持续16秒，及减益无效（16秒后或是受到一次减益攻击后取消）,对随机3名敌人造成1890（6894）伤害，赋予3名光属性盟友回避率及敏捷度+45%，持续16秒,对随机3名敌人造成7224伤害，赋予3名光属性盟友回避率及敏捷度+55%，持续16秒,光属性的盟友的回避率+18%
580147,偶像阿克拉西亚,5星,光,防御型,图鉴资料 / 5星天子：光 / 偶像阿克拉西亚,,,,,,,,,,,,,对目标造成93(647）自动攻击伤害,造成333（2242）伤害，2名盟友（最低HP）防御力+50%(+66.6%)，持续12秒,造成2267伤害，3名盟友（最低HP）防御力+66.6%，持续14秒,对随机两名敌人造成651(3659)伤害，赋予3名盟友（优先：攻击性）光之盾（目标防御力+35%(+51.6%)并在受到攻击时对攻击者造成失明，持续8秒。减少攻击命中率45%(67.8%) ），持续14秒，并在PvP中对3名光属性盟友造成回避率+20%(+51.8%)，持续14秒,对随机2名敌人造成3759伤害，赋予3名盟友（优先：攻击型）光之盾（目标防御力+56.6%并在受到攻击时对攻击者造成失明，持续8秒。减少攻击命中率67.8%），持续14秒，并在PvP中对3名盟友造成回避率+56.89%，持续14秒,对随机两名敌人造成1631(5662)伤害，赋予3名盟友（优先：最低HP）光之盾（目标防御力+45%并在受到攻击时对攻击者造成失明，持续8秒。减少攻击命中率70%），持续16秒，且防御力+35%,对随机2名敌人造成5992伤害，赋予3名盟友（优先：最低HP）光之盾（目标防御力+ 50%并在受到攻击时对攻击者造成失明，持续8秒。减少攻击命中率70%），持续16秒，且防御力+40%,全体盟友的防御力+20%
577973,黑兔奥弗伊斯,5星,光,干扰型,图鉴资料 / 5星天子：光 / 黑兔奥弗伊斯,,,,,,,,,,,,,对目标造成103（699）自动攻击伤害（自动）,对随机1名敌人造成409（2640）伤害，并在20人巨型Boss中，赋予自身减益命中率+15%（35.1%），持续16秒，和有70%（90.1%）的机率对暗属性敌人造成时间窜改（移除目标所有时间系增益，并减少Skill量表充能速度40%），持续8秒。,对随机1名敌人造成2665伤害，并在20人巨型Boss中，赋予自身减益命中率+40.1%，持续2回合，和有95.1%的机率对暗属性敌人造成时间窜改（移除目标所有时间系增益，并减少Skill量表充能速度40%），持续12秒。,对2名敌人（优先：暗属性）造成703（4076）伤害，并对暗属性敌人造成减益回避率-20%（35.9%），持续14秒。在20人巨型Boss中，对暗属性敌人造成Slide Skill防御力-35%（66.8%），持续14秒。,对2名敌人（优先：暗属性）造成4176伤害，并对暗属性敌人造成减益回避率-40.9%和减益持续时间+58.6%，持续14秒。在20人巨型Boss中，对暗属性敌人造成Slide Skill防御力-81.8%，持续14秒。,对3名敌人（最低HP）造成2099（7391）伤害，在20人巨型Boss中，暗属性敌人Skill防御力-40%，持续2回合。,对3名敌人（最低HP）造成7721伤害，在20人巨型Boss中，暗属性敌人Skill防御力-50%，持续2回合。,暗属性敌人Slide Skill防御力-15%（在20人巨型Boss中，暗属性敌人Skill防御力-15%）
171907,异能人钱德拉,5星,光,辅助型,图鉴资料 / 5星天子：光 / 异能人钱德拉,,,,,,,,,,,,,对目标造成101（687）自动攻击伤害,造成396（2555）伤害，有60（85.6）%的机率为2名有着时间系减益的盟友移除1个时间系减益,造成2580伤害，有90.6%的机率为3名有着时间系减益的盟友移除1个时间系减益,对随机2名敌人造成732（4021）伤害，赋予5名光届性盟友（最高攻击力）skill伤害+35（100）%，持续16秒。对象为世界王时，5名有着减益的盟友，skill冷却时间-2秒，持续16秒,对随机2名敌人造成4121伤害，赋予5名光届性盟友（最高攻击力）skill伤害+125%，持续2回合。对象为世界王时，5名有着减益的盟友，skill冷却时间-2秒，持续2回合,对随机3名敌人造成1885（6866）伤害，赋予3名光属性盟友（最高攻击力）攻击力+70%，持续20秒。对象为世界王时，有90%机率赋予全体盟友时间扭曲（移除目标全部的时间系减益，skill量表充能速度+40%），持续20秒,对随机3名敌人造成7196伤害，赋予3名光属性盟友（最高攻击力）攻击力+70%，持续2回合。对象为世界王时，有90%机率赋予全体盟友时间扭曲（移除目标全部的时间系减益，skill量表充能速度+40%），持续2回合,光属性盟友的skill伤害+18%（对象为世界王时，光属性盟友的skill伤害+20%）
168976,米莉雅,5星,光,辅助型,图鉴资料 / 5星天子：光 / 米莉雅,,,,,,,,,,,,,对目标造成102（690）自动攻击伤害,对目标造成400（2577）伤害，有60（90.4）%的机率充满随机1名盟友的Skill量表,对目标造成2602伤害，有90.4%的机率充满自身以外2名盟友（正在充能skill）的Skill量表,对2名随机敌人造成737（4047）伤害，并赋予3名盟友（最低攻击力）skill量表充能速度+50（80.4）%，持续16秒，赋予3名光属性盟友（最低HP）减益回避率+15（45.5）%，持续16秒，在PVP中赋予3名光属性盟友（最低HP）回避率+30（46.6）%，持续16秒,对2名随机敌人造成4147伤害，并赋予3名盟友（最低攻击力）skill量表充能速度+80.4%，持续2回合，赋予4名光属性盟友（最低HP）减益回避率+50.5%，持续2回合，在PVP中赋予4名光属性盟友（最低HP）回避率+51.6%，持续2回合,对随机3名敌人造成1901（6952）伤害，并赋予5名光属性盟友（最低HP）无效化（14秒后或是受到1次减益攻击后取消），有100%的机率立即重置冷却时间,对随机3名敌人造成7282伤害，并赋予5名光属性盟友（最低HP）无效化（14秒后或是受到2次减益攻击后取消），有100%的机率立即重置冷却时间,光属性盟友减益回避率+18%（在PvP中，光属性盟友諴益回避率+12%）
167084,古弦乐师自请妃,5星,光,辅助型,图鉴资料 / 5星天子：光 / 古弦乐师自请妃,,,,,,,,,,,,,对目标造成101（687）自动攻击伤害,造成396（2555）伤害，有60（85）%的机率结束1名盟友（最高攻击力）的冷却时间,造成2580伤害，有90%的机率结束2名盟友（最高攻击力）的冷却时间,对2名敌人（最低HP）造成733（4024）伤害，赋予3名光属性盟友（最高攻击力）Skill量表充能量+45（83）%及Skill冷却时间-2秒，持续2回合,对2名敌人（最低HP）造成4124伤害，赋予3名光属性盟友（最高攻击力）Skill量表充能量+88%及Skill冷却时间-2秒，持续2回合。PVP中，减益回避率+55.5%,对3名随机敌人造成1887（6874）伤害，赋予全体光属性盟友狂暴（攻击力+50%且无敌，但效果结束时有100%机率晕昡目标5秒），持续8秒,对3名随机敌人造成7204伤害，赋予全体光属性盟友狂暴（攻击力+50%且无敌，但效果结束时有100%机率晕昡目标5秒），持续10秒,光属性盟友的Skill量表充能量+18%（在PVP中，Skill冷却时间- 1秒）
167075,贤明的塞列欧斯,5星,光,辅助型,图鉴资料 / 5星天子：光 / 贤明的塞列欧斯,,,,,,,,,,,,,对目标造成102（691）自动攻击伤害,造成403（2589）伤害，有75（95.1）%的机率使2名盟友（优先：沉默中）的沉默无效，持续10秒。在副本中，有45（85.2）%的机率赋予1名光属性盟友（最高攻击力）专注（命中率↑与100%暴击），持续16秒,对随机1名敌人造成2614伤害，有95.1%概率赋予（优先：沉默中）我方3名队友10s内沉默无效。5人B0ss战限定：有90.2%概率赋予光属性（优先：攻击力最高）1名队友2回合集中(攻击必定暴击且不会被闪避）,对2名敌人（优先：暗属性）造成739（4059）伤害，赋予3名光属性盟友（最低HP）屏障（在HP受影响前，吸收+1800（2249）所有敌方攻击伤害，无法与减益屏障同时启用），持续16秒，并赋予3名光属性盟友（最高攻击力）Slide Skill伤害+30（55.6）%，持续16秒。在副本中，3名光属性盟友（最高攻击力）有70（90.1）%机率获得觉醒（暴击伤害增加30%，并根据增益数增加Slide Skill伤害），持续16秒,对2名敌人(优先:暗属性)造成4159伤害，赋予光属性(优先:HP最低)的3名队友护盾+2549点，持续16秒。赋予光属性（优先：攻击力最高）的3名队友SlideSkill伤害+80.6%，持续2回合。5人B055战限定：有95.1%概率赋予光属性（优先：攻击力最高）的3名队友2回合觉醒(暴击伤害+30%&根据自身增益数量增加 SlideSkill最终伤害，最大60%),对3名敌人（优先：暗属性）造成1906（6982）伤害，有100%的机率无效沉默，持续10秒，并赋予5名光属性盟友屏障（在HP受影响前，吸收+2500所有敌方攻击伤害，无法与减益屏障同时启用），持续20秒,对3名敌人（优先：暗属性）造成7312伤害，赋予5名光属性队友14s内100%沉默无效&20s内护盾+2500点,光属性盟友的暴击伤害+20%（副本中追加+20%）
