content_id,name,rarity,stat_pair,element_gate,role_gate,mode_gate,collab,special,plain_hp_init,plain_atk_init,plain_def_init,plain_agl_init,plain_crt_init,plain_hp_max,plain_atk_max,plain_def_max,plain_agl_max,plain_crt_max,flash_hp_init,flash_atk_init,flash_def_init,flash_agl_init,flash_crt_init,flash_hp_max,flash_atk_max,flash_def_max,flash_agl_max,flash_crt_max
595283,炎热夏日,5星,血攻,水,通用,通用,否,全部能力增加（普：250/350），被攻击时，恢复(普：190/210）HP,1342,792,,,,,,,,,1448,850,,,,,,,,
593141,坐在阳伞下,5星,血攻,通用,攻击,pvp,否,在PVP中装备时，攻击时回复300/325HP，有15/17%的几率移除增益,1342,792,,,,,,,,,1448,850,,,,,,,,
593125,海边的水枪大战,5星,攻暴,水,通用,5人巨型boss,否,5人巨型boss，装备时暴击时的加成伤害增加（普：15%/；闪：17%/）,,715,,,425,,,,,,,768,,,449,,,,,
591538,社长，打得好！,5星,血攻,暗,通用,5人巨型boss,否,在5人巨型boss中装备时，skill量表充能速度增加（普：10%/；闪：11%/）,1215,715,,,,,,,,,1311,768,,,,,,,,
589623,魔王后裔,5星,血攻,光,通用,5人巨型boss,否,在5人巨型boss中，攻击时回复HP（普：300/；闪：325/）,1200,700,,,,,,,,,1296,753,,,,,,,,
587029,莉莎的撞球技术,5星,血攻,火,通用,5人巨型boss,否,装备时，在5人巨型boss中发动攻击时回复HP（普：300/；闪：325/）,1200,700,,,,,,,,,1296,753,,,,,,,,
584753,天才美少年的时间,5星,血防,暗,通用,pvp,否,装备时，在pvp中增加skill量表充能速度（普：5%/；闪：6%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
584752,我们一起度过的冬天,5星,血攻,水,通用,5人巨型boss,否,装备时，在5人巨型boss中发动攻击时回复HP（普：300/；闪：325/）,1200,700,,,,,,,,,1296,753,,,,,,,,
582294,平静的绵羊牧场,5星,血防,通用,通用,20人巨型boss,否,在20人巨型boss时，装备时增加减益回避率（普：13%/；闪：15%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
582300,如炎般光辉,5星,攻敏,火,通用,pve,否,装备时，在PVE中持续伤害增加（普：250/；闪：300/）,,700,,390,,,,,,,,753,,424,,,,,,
582298,亡命之徒,5星,血防,通用,防御,pvp,否,装备时，在PVP中持续伤害减益回避率增加（普：15%/；闪：16%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
582301,礼物已经到了,5星,血防,通用,干扰,太空漫步,否,装备时，在太空漫步中发动攻击时回复HP（普：300/；闪：325/）,1200,,660,,,,,,,,1296,,714,,,,,,,
582286,女神显现,5星,血敏,通用,辅助,pvp,否,在PVP中增加眩晕回避率（普：22%/；闪：23.5%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
582285,被骑在头上的恶魔,5星,血敏,通用,通用,20人巨型boss,否,装备时，在20人巨型boss中减少诅咒伤害（普：150/；闪：170/）,1200,,,390,,,,,,,1296,,,424,,,,,,
582283,甜蜜的友情巧克力,5星,血敏,水,辅助,太空漫步,否,装备时，在太空漫步中减益回避率增加（普：13%/；闪：15%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
582281,炼狱与地狱之间,5星,血攻,木,通用,5人巨型boss,否,装备时，在5人巨型boss中增加Skill量表充能速度（普：10/；闪：11/）,1200,700,,,,,,,,,1296,753,,,,,,,,
580155,来多点酒！,5星,血防,木,通用,pvp,否,准备时，在pvp中增加skill量表充能速度（普：5%/；闪：6%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
