id,idx,name,name_ocr,wiki_name,wiki_id,rarity,element,role,avatar_file,cp,hp,atk,def_,agl,crt,hp_init,atk_init,def_init,agl_init,crt_init,hp_max,atk_max,def_max,agl_max,crt_max,auto_text,tap_text,tap_ignited,slide_text,slide_ignited,drive_text,drive_ignited,leader_text,cv,source,avatar_source
M5-000,0,黑暗塞勒涅,,黑暗塞勒涅,595271,5星,水,辅助型,icons/C5f_000.png,,,,,,,,,,,,,,,,,对目标造成102（690）自动攻击伤害,对1名水属性敌人优先造成399（2575）伤害1次完全充能：1名盟友（随机）60（90.4）%概率,对1名水属性敌人优先造成2600伤害1次 完全充能：2名盟友（随机）90.4%概率,对2名水属性敌人优先造成725（4036）伤害1次skill充能加速：16秒内，3名盟友（低攻击力）+50（93.5）%忍耐：20秒内3次，3名盟友（低攻击力）100%概率弱化减益无效：16秒内，3名木属性盟友（PVP）70（90.1）%概率,对2名水属性敌人优先造成4136伤害1次 skill充能加速：2回合内，3名盟友（低攻击力）+93.5% 忍耐：20秒内4次，3名盟友（低攻击力）100%概率 弱化减益无效：16秒内，3名木属性盟友（PVP）90.1%概率,对3名敌人（随机）造成1976（7039）伤害1次忍耐：20秒内4次，4名盟友（低攻击力）100%概率 弱化减益无效：4名盟友（低攻击力）100%概率,对3名敌人（随机）造成7369伤害1次 忍耐：20秒内4次，4名盟友（低攻击力）100%概率 弱化减益无效：20秒内，4名盟友（低攻击力）100%概率,skill充能加速：永远套用所有木属性盟友+20%skill充能加速：永远套用所有木属性盟友（PVP）+20%,本泉莉奈,memorial+wiki,cn
M5-001,1,忍者琪隆,,忍者琪隆,,5星,木,辅助型,icons/C5f_001.png,2267,2275,1054,848,788,907,2275,1054,848,788,907,,,,,,,,,,,,,,本泉莉奈,memorial,cn
M5-002,2,哀悲的索卡,,哀悲的索卡,595262,5星,水,辅助型,icons/C5f_002.png,,,,,,,,,,,,,,,,,对目标造成102（691）自动攻击伤害,对目标造成401（2588）伤害1次觉醒：15秒内，1名水属性攻击型70（90.1）%几率,对目标造成2613伤害1次 觉醒：2回合内，1名水属性攻击型95.1%几率,对2名敌人（随机）造成727（4047）伤害1次skill充能加速：16秒内，3名水属性盟友（高攻击力）+40（83.5）%弱点攻击力↑：16秒内，3名水属性盟友（高攻击力）+50（115）%drive充能↑：16秒内，1名水属性攻击力盟友（5人巨型BOSS）+15（59.3）%,对2名敌人（随机）造成4147伤害1次 skill充能加速：2回合内，3名水属性盟友（高攻击力）+93.5% 弱点攻击力↑：2回合内，3名水属性盟友（高攻击力）+130% drive充能↑：2回合内，1名水属性攻击力盟友（5人巨型BOSS）+64.3%,对3名敌人（随机）造成1881（6955）伤害1次drive skill量表：5名水属性盟友+150drive充能↑：20秒内，5名水属性盟友（5人巨型BOSS）+30%,对3名敌人（随机）造成7285伤害1次 drive skill量表：5名水属性盟友+150 drive充能↑：20秒内，5名水属性盟友（5人巨型BOSS）+45%,弱点攻击力↑：永远套用所有水属性盟友+20%drive充能↑：永远套用所有水属性盟友（5人巨型BOSS）+10%,岩村彩良,memorial+wiki,cn
M5-003,3,助手红莲,,助手红莲,593135,5星,水,辅助型,icons/C5f_003.png,2242,2262,1048,828,776,892,2262,1048,828,776,892,,,,,,对目标造成101（689）自动攻击伤害,对1名敌人（随机）造成398（2567）伤害1次移除并无效化诱惑：2名盟友（魅惑中）60（85.6）%几率,对1名敌人（随机）造成2592伤害1次 移除并无效化诱惑：3名盟友（魅惑中）90.6%几率,对2名敌人（随机）造成735（4035）伤害1次支援：16秒，5名水属性盟友（高攻击力）70（90.1）%几率弱点攻击力↑：16秒内，5名水属性盟友（20人巨型BOSS，高攻击力）+50（115）%,对2名敌人（随机）造成4135伤害1次 支援：2回合内，5名水属性盟友（高攻击力）90.1%几率 弱点攻击力↑：2回合内，5名水属性盟友（20人巨型BOSS，高攻击力）+130%,对3名敌人（随机）造成1892（6902）伤害1次移除并无效化诱惑：16秒内，5名（魅惑中）优先100%几率Skill充能加速：2回合内，所有持续伤害状态+70%,对3名敌人（随机）造成7232伤害1次 移除并无效化诱惑：16秒内，5名盟友（魅惑中）优先100%几率 Skill充能加速：3回合内，所有持续伤害状态+70%,弱点攻击力↑：永远套用所有水属性盟友+18%弱点攻击力↑：永远套用所有持续伤害状态+20%,山田麻莉奈,memorial+wiki,cn
M5-004,4,全面的俄涅洛伊,,全面的俄涅洛伊,593138,5星,火,治疗型,icons/C5f_004.png,,,,,,,,,,,,,,,,,对目标造成96（662）自动攻击伤害,对目标造成342（2347）伤害1次及时回复量↑：20秒内，2名盟友（低HP）+30（52.1）%持续回复量↑：20秒内，2名盟友（低HP）+30（52.1）%,对目标造成2347伤害1次 及时回复量↑：20秒内，3名盟友（低HP）+57.1% 持续回复量↑：20秒内，3名盟友（低HP）+57.1%,治愈：3名盟友（低HP）回复1353（3227）持续回复：14秒内，3名盟友（受到减益）回复122（290）弱化减益无效：14秒内，3名火属性盟友（高攻击力）70（90.1）%几率,治愈：3名盟友（低HP）回复3727持续回复：14秒内，3名盟友（受到减益）回复340弱化减益无效：16秒内，3名火属性盟友（高攻击力）90.1%几率,复活：1名火属性盟友（死亡）20%重生：16秒内，2名盟友（PVP、低HP）100%几率攻击力叠加：40秒内5次，对自身+200,复活：1名火属性盟友（死亡）20% 重生：20秒内，2名盟友（PVP、低HP）100%几率 攻击力叠加：40秒内5次，对自身+200,及时回复量↑：永远套用所有盟友+15%持续回复量↑：永远套用所有盟友+15%,李知惠,memorial+wiki,cn
M5-005,5,纠缠的薇薇安,,纠缠的薇薇安,593122,5星,水,辅助型,icons/C5f_005.png,2274,2275,1062,848,788,913,2275,1062,848,788,913,,,,,,对目标造成102（691）自动攻击伤害,对目标造成401（2588）伤害1次移除灼烧和热伤：2名盟友（受灼烧/灼伤）70（90.1）%几率,对目标造成2613伤害1次 移除灼烧和热伤：8秒内，3名盟友（受灼烧/灼伤）优先95.1%几率,对2名敌人（随机）造成727（4048）伤害1次暴击攻击力↑：16秒内，3名水属性盟友（高攻击力）+50（105）%专注：16秒内，1名水属性盟友（5人巨型BOSS，高攻击力）45（85.2）%几率,对2名敌人（随机）造成4148伤害1次 暴击攻击力↑：2回合内，3名水属性盟友（高攻击力）+110% 专注：2回合内，1名水属性盟友（5人巨型BOSS，高攻击力）90.2%几率,对3名敌人（随机）造成1883（6966）伤害1次Drive Skill增幅：5名水属性盟友+150,对3名敌人（随机）造成7296伤害1次 Drive Skill增幅：5名水属性盟友+150Skill强化Ⅱ：3回合内，1名水属性攻击型+80%,暴击攻击力↑：永远套用所有水属性盟友+20%弱点攻击力↑：永远套用所有水属性盟友（5人巨型BOSS）+20%,谷口萝奈,memorial+wiki,cn
M5-006,6,北国俱毗罗,,北国俱毗罗,591546,5星,光,辅助型,icons/C5f_006.png,,,,,,,,,,,,,,,,,对目标造成102（691）自动攻击伤害,对目标造成403（2589）伤害1次完全充能：1名盟友（高攻击力）优先60（90.4）%概率减益效果时间缩短：14秒内，1名盟友（高攻击力）优先-20（42.8）%,对目标造成2614伤害1次 完全充能：2名盟友（高攻击力）优先90.4%概率 减益效果时间缩短：14秒内，2名盟友（高攻击力）优先-47.8%,对2名暗属性敌人优先造成740（4061）伤害1次skill充能加速：16秒内，3名光属性盟友（高攻击力）+45（88.5）%弱化减益无效：14秒内，3名光属性盟友（高攻击力）70（90.1）%概率暴击率↑：16秒内，1名光属性盟友（PVP、攻击型）+50（72.1）%,对2名暗属性敌人优先造成4161伤害1次 skill充能加速：2回合内，3名光属性盟友（高攻击力）+88.5% 弱化减益无效：14秒内，3名光属性盟友（高攻击力）90.1%概率 暴击率↑：16秒内，2名光属性盟友（PVP、攻击型）+72.1%,对3名暗属性敌人优先造成1907（6987）伤害1次完全充能：3名盟友（skill充能忠）优先80%概率,对3名暗属性敌人优先造成7317伤害1次 完全充能：3名盟友（skill充能忠）优先80%概率移除减益效果：3名盟友（skill充能中）优先100%概率,skill充能加速：永远套用所有光属性盟友20%减益效果时间缩短：永远套用所有光属性盟友（PVP）-15%,蓝谷早,memorial+wiki,cn
M5-007,7,北国俱毗罗,,北国俱毗罗,591542,5星,暗,辅助型,icons/C5f_007.png,2275,2275,1062,758,788,907,2275,1062,758,788,907,,,,,,对目标造成102（691）自动攻击伤害,对目标造成401（2588）伤害1次移除致命回复：4秒内，2名盟友（低HP）优先70（90.1）%概率治疗：2名盟友（低HP）优先回复384（821）,对目标造成2613伤害1次 移除致命回复：8秒内，3名盟友（低HP）优先95.1%概率 治疗：3名盟友（低HP）优先回复971,对2名敌人（随机）造成727（4048）伤害1次暴击攻击力↑：16秒内，3名暗属性盟友（高攻击力）+50（105）%时间扭曲：16秒内，3名暗属性盟友（5人巨型BOSS，高攻击力）70（90.1）%概率,对2名敌人（随机）造成4148伤害1次 暴击攻击力↑：2回合内，3名暗属性盟友（高攻击力）+110% 时间扭曲：2回合内，3名暗属性盟友（5人巨型BOSS，高攻击力）95.1%概率,对3名敌人（随机）造成1882（6959）伤害1次屏障：20秒内，5名暗属性盟友+2000专注：2回合内，1名暗属性盟友（高攻击力）100%概率,对3名敌人（随机）造成7289伤害1次 屏障：20秒内，5名暗属性盟友+2500 专注：3回合内，1名暗属性盟友（高攻击力）100%概率,暴击攻击力↑：永远套用所有暗属性盟友+20%暴击攻击力↑：永远套用所有暗属性盟友（5人巨型BOSS）+20%,桃圆元,memorial+wiki,cn
M5-008,8,混沌的彼列,,混沌的彼列,591541,5星,光,治疗型,icons/C5f_008.png,,,,,,,,,,,,,,,,,对目标造成97（664）自动攻击伤害,对2名敌人（低HP）造成345（2360）伤害1次最大HP↑：10秒内，2名盟友（低HP）+1200（1960）,对2名敌人（低HP）造成2360伤害1次 最大HP↑：14秒内，3名盟友（低HP）+2160,不死：14秒内，3名盟友（低HP）56（95）%概率生命连接：14秒内，3名盟友（低HP）优先+20（50.5）%减益效果无效：14秒内1次，3名盟友（PVP、低HP）100%概率,不死：14秒内，3名盟友（低HP）100%概率 生命连接：14秒内，3名盟友（低HP）优先+55.5% 减益效果无效：14秒内2次，3名盟友（PVP、低HP）100%概率,对2名敌人（低HP）优先造成1619（6159）伤害1次最大HP↑：20秒内，3名盟友（低HP）+1800生命连接：20秒内，3名盟友（低HP）+50%,对3名敌人（低HP）优先造成6159伤害1次 最大HP↑：20秒内，4名盟友（低HP）+2000生命连接：20秒内，4名盟友（低HP）+50%,最大HP↑：永远套用所有光属性盟友+1000起始效果：对自身100%概率减益效果无效：500秒内1次，2名光属性盟友（低HP）100%概率,若樱有理,memorial+wiki,cn
M5-009,9,领主卡那罗,,领主卡那罗,589619,5星,水,辅助型,icons/C5f_009.png,2267,2275,1054,848,784,913,2275,1054,848,784,913,,,,,,对目标造成102（690）伤害1次,对目标造成399（2575）伤害1次skill充能增幅：2名水属性攻击型优先+18%（40.8%）,对目标造成2600伤害1次 skill充能增幅：3名水属性攻击型优先+45.8%,对2名敌人（随机）造成725（4035）伤害1次冷却时间减少：16秒内，5名水属性盟友（高攻击力）-2秒免疫：所有盟友（受燃烧/灼伤）100%概率,对2名敌人（随机）造成4135伤害1次 冷却时间减少：16秒内，5名水属性盟友（高攻击力）-2秒 免疫：所有盟友（受燃烧/灼伤）100%概率,对3名敌人（随机）造成1877（6931）伤害1次狂暴：24秒内，3名水属性盟友（20人巨型Boss，高攻击力）+120%眩晕：对自身100%概率5秒内,对3名敌人（随机）造成7261伤害1次 狂暴：24秒内，3名水属性盟友（20人巨型Boss，高攻击力）+120% 眩晕：对自身100%概率5秒内,攻击力↑：永远套用所有水属性盟友+20%冷却时间减少：永远套用所有持续伤害状态-1秒,新田上,memorial+wiki,cn
