kind,name,effect
buff,攻击力↑,增加攻击力
buff,防御力↑,增加防御力
buff,TS强化,强化Tap Skill
buff,TS强化Ⅱ,增加Tap Skill的最终伤害
buff,TS防御力↑,增加对Tap Skill的防御力
buff,SS强化,强化Slide Skill
buff,SS强化Ⅱ,增加Slide Skill的最终伤害
buff,Skill防御力↑,增加所有类型的技能防御力
buff,DS强化,强化Drive Skill的效果
buff,DS防御力↑,增加对Drive Skill的防御力
buff,自动攻击强化,强化自动攻击
buff,屏障,产生屏障（在HP受影响前吸收伤害），并为其他目标承受伤害
buff,减益屏障,施放一个吸收减益伤害的独立护盾（会把屏障顶掉）
buff,减益挑衅,代替盟友承受一个减益
buff,回复,在一定时间内恢复一定量的HP
buff,暴击几率↑,增加暴击率
buff,暴击↑,增加暴击
buff,暴击攻击力↑,增加暴击的最终伤害
buff,连击,击杀敌人后，对剩余敌人造成加成伤害
buff,觉醒,增加暴击伤害，并根据增益数量增加SS伤害
buff,不死,即使受到致命伤害，HP也不会低于1
buff,耐心,赋予目前减益数量+1的忍耐
buff,忍耐,使伤害无效并减少造成伤害减益的频率
buff,适应痛苦,提升一定量的防御力。全体盟友每失去2%HP就提升4%防御力（最多160%，只增加适应痛苦所赋予的防御力）
buff,升华痛苦,提升一定量的攻击力。全体盟友每失去2%HP就提升60%攻击力（最多2400%，只增加升华痛苦所赋予的攻击力）
buff,即时回复量↑,增加回复技能的效果
buff,持续回复量↑,增加持续回复技能的效果
buff,秘愈,每当自身行动或受到伤害时，回复自身HP
buff,减益效果无效,立即移除所有减益效果
buff,免疫,赋予所有减益效果免疫；立即移除所有减益
buff,重生,死亡时，以一定量HP复活，同时获得充满的Skill量表和增加攻击力
buff,弱点攻击力↑,增加弱点攻击的伤害
buff,支援,根据增益数增加弱点技能伤害和攻击力
buff,Skill充能↑,增加Skill量表充能量；可与Skill回复加速叠加
buff,Skill充能加速,加速Skill量表充能速度；可与增加Skill量表充能量的效果叠加
buff,双刃剑,增加攻击力的同时减少防御力
buff,超载,除了DS，所有Skill伤害增加，增加Skill冷却时间，减少Skill充能速度
buff,呐喊,百分比增加攻击力（最多叠加3次）
buff,生命连结,将一部分受到的伤害（不包含DOT伤害）转为HP，给予HP最低的盟友
buff,吸血,攻击所造成伤害的一部分会逐渐回复HP
buff,减益效果持续时间缩短,减少减益持续时间
buff,冷却时间减少,一定时间内减少目标的SS冷却时间
buff,最大HP↑,获得额外HP
buff,激怒,储存持续时间内受到的伤害，下一次使用技能时以储存的伤害进行攻击
buff,挑衅,挑衅敌人并承受所有针对友方的攻击，全体攻击除外
buff,反射,向敌人反射部分伤害；不会反射DS或持续伤害
buff,减益效果回避率↑,增加减益效果回避率
buff,增加DOT回避率,增加持续伤害减益回避率
buff,沉默无效化,沉默无效化
buff,直击,无视敌人忍耐
buff,回避率↑,增加技能回避率
buff,专注,100%命中率和暴击率：免疫失明和影响暴击的负面效果
buff,敏捷度↑,增加敏捷度
buff,狂暴,增加攻击力且无敌（无视攻击和减益），但效果结束时100%概率5s晕眩
buff,雪球炸弹,当减益持续时间结束时，将造成一定程度的伤害，并重置敌人的Skill量表
buff,水球,每次受到攻击都会受到伤害，并在持续时间结束或用尽回数（被攻击2次）时，重置Skill量表（追加伤害同数值的固伤，SS冷却不受影响）
buff,即时回复量↓,减少回复技能的效果
buff,持续回复量↓,减少持续回复技能的效果
buff,致命回复,将回复和持续回复的HP回复效果反转为立即伤害或持续伤害；吸血效果和吸收效果都无法造成伤害，也无法回复
buff,禁止回复,无法以任何回复技能回复
buff,弱点攻击力Ⅱ,减少弱点攻击的伤害
buff,弱点防御力↓,减少弱点攻击防御力
buff,Skill防御力↓,减少对所有技能的防御力
buff,TS防御力↓,减少Tap Skill防御力
buff,SS防御力↓,减少Slide Skill防御力
buff,烙印,根据敌人增益数量，造成持续伤害
buff,防御力↓,减少防御力
buff,攻击力↓,减少攻击力
buff,DS弱化Ⅱ,减少Drive Skill的最终伤害
buff,敏捷度↓,减少敏捷度
buff,已标记,将伤害技能的目标从敌人改成已标记的Child
buff,诱惑,新增益效果无效，无法移除
buff,混乱,混乱时攻击队友(Buff转换给敌方，DeBuff转换给我方)，不影响持续DS效果或复活
buff,失明,减少技能命中率
buff,沉默,无法使用技能并重置Skill量表（SS冷却时间倒数会停止）
buff,减益效果回避率↓,减少对减益效果的回避率
buff,减少减益命中率,减少目标的减益命中率
buff,Skill充能↓,减少Skill量表充能量；可与Skill量表充能减速叠加
buff,Skill充能速度↓,减少Skill量表充能速度；可与减少Skill量表充能量的效果叠加
buff,冷却时间增加,在一定时间内增加目标的SS冷却时间
buff,时间篡改,移除敌人的一个时间系增益；并减少Skill量表充能速度
buff,延长减益效果,延长减益持续时间
debuff,流血,对一名敌人造成持续伤害（随时间），可叠加
debuff,擦伤,增加流血的持续伤害和时间
debuff,中毒,受到攻击和每次行动都会受到伤害，不可叠加
debuff,猛毒,DOT；回复量减少50%；无法缩减或延长减益效果
debuff,猛毒增幅,增加猛毒持续伤害300，回复量-30%
debuff,乱舞之刃,减少目标的防御力，并持续造成伤害
debuff,诅咒,造成持续伤害，并在减益效果结束或移除后，造成额外伤害
debuff,分解,造成持续伤害（无法缩短或延长减益效果）
debuff,灼烧,降低Skill伤害防御力，并在每次受到攻击时造成热伤（受攻击时，每2s造成持续伤害）
debuff,晕眩,效果时间内，使对方无法行动，且充能量表初始化（效果时间内受到攻击时延长1s，5秒上限）
debuff,石化,效果时间内，在受到一定次数的攻击前无法行动（充能量表不会被初始化）
