content_id,name,element,rarity,tap,slide,drive,leader,lv1,lv70
593126,悲恸的报丧女妖,暗,传奇,减少减益命中率-100%几率：8秒内，2名干扰型敌人优先-15%,睡眠-100%几率：10秒内，2名敌人（随机）50%几率,,减少减益命中率-100%几率：永远套用所有干扰型敌人-10%,,LV70
169173,女仆摩根,火,传奇,对2名木属性敌人造成流血（每2秒造成100持续伤害），持续10秒,对攻击目标造成500无视防御伤害,,,,LV70
169174,不屈的自请妃,木,传奇,赋予自身弱点攻击最终伤害+40%，持续10秒,自身获得吸血（攻击时回复500HP），持续16秒,,木属性盟友的弱点攻击最终伤害+10%,,LV70
169175,轮回的克丽欧佩特拉,光,传奇,对攻击目标造成300加成伤害,对攻击目标中的2名随机敌人造成失明（减少攻击命中率30%），持续12秒,,,,LV70
169176,小试身手朱庇特,火,传奇,攻击目标的防御力-15%，持续8秒,对攻击目标中的2名随机敌人造成流血（每2秒100持续伤害），持续14秒,,全体敌人的防御力-10%,,LV70
169177,有野心的玛门,木,传奇,,赋予自身挑衅（发动概率：80%），持续12秒,自身所有skill伤害防御力+20%，持续16秒,,,LV70
169178,阳光的嫦娥,水,传奇,,,有45%的概率充满3名随机盟友（自身以外）skill量表,全体盟友的skill充能量+10%,,LV70
169179,禁忌的夏娃,水,传奇,,,对攻击目标造成中毒（每当目标行动时，造成500伤害，并在受到伤害时附加加成伤害），持续4回合,,,LV70
169180,君临梅杜莎,暗,传奇,有50%的几率对随机2名敌人造成石化（10秒内无法行动，除非受到2次攻击）,,有50%的几率对攻击目标中的3名随机敌人造成石化（20秒内无法行动，除非受到3次攻击）,光属性敌人的减益回避率-10%,,LV70
169181,弗雷,暗,传奇,自身暴击率+30%，持续10秒,,对攻击目标造成减益爆发（移除1个减益，并以X300的系数造成基于该效果种类的伤害）,,,LV70
169182,迷失的玛亚特,光,传奇,有60%的几率移除2名盟友（被石化）的石化,2名盟友（低HP）持续回复+150HP（每2秒1次），持续12秒,将1名已死亡盟友复活至2000HP的状态,,,LV70
595288,星夜阿斯特莉亚,木,史诗,秘愈（100%概率）：10秒内，2名盟友（低HP）+400,治愈（100%概率）：3名盟友（低HP）回复1200,,,,LV70
595290,回忆的欧洛拉,木,史诗,,skill充能加速（100%概率）：16秒内，2名木属性盟友（高攻击力）+40%,,skill充能加速（100%概率）：永远套用所有木属性盟友+7.5%,,LV70
595293,白色伊索德,水,史诗,,水球（100概率）：16秒内2次，2名敌人（高攻击力）500伤害量,冰冻（100概率）：15秒内，3名治愈型敌人优先40%几率,,,LV70
595291,春之贝丝,水,史诗,减益效果回避率↑ （100%概率）：10秒内，2名盟友（低HP）+15%,忍耐 （75%概率）：16秒内4次，2名盟友（低HP）100%概率,,,,LV70
593132,暗黑克星丽莎,水,史诗,,仅限于攻击目标无视防御伤害-100%几率：所有敌人400伤害量,,Skill强化Ⅱ-100%几率：永远套用所有水属性盟友+7.5%,,LV70
593133,勤勉的迪诺,水,史诗,仅限于攻击目标无视防御伤害-100%几率：所有火属性敌人250伤害量,,狂暴-100%几率：20秒内，对自身+40%晕眩：5秒内，对自身100%几率,,,LV70
593128,自傲的菲尔纳多,火,史诗,,,Skill充能加速-100%几率：20秒内， 3名火属性盟友（高攻击力）+40%,Skill充能加速-100%几率：永远套用所有火属性盟友+7.5%,,LV70
593127,圣诞勒达,火,史诗,,攻击力↑-100%几率：16秒内，3名火属性盟友（高攻击力）+25%,屏障-100几率：20秒内，5名盟友（低HP）+1300,,,LV70
591545,田园的潘,木,史诗,,skill充能↓：所有敌人-20%,skill充能↓：16秒内，所有敌人-20%,,,LV70
591544,魅惑的赫克特,木,史诗,,减益效果回避率↑：16秒内，2名木属性盟友+15%,治疗：3名盟友（低HP，屏障除外）回复+1200,,,LV70
591540,暗光的凯布利,暗,史诗,,失明：12秒内，2名干扰型敌人20%,混乱：15秒内，所有敌人40%几率,,,LV70
591539,匆忙的奥弗伊斯,暗,史诗,屏障反制：2名敌人（有屏障）+55%,保护增益爆发：3名敌人（有保护增益）400伤害量,,,,LV70
589624,仲夏秋牡丹,水,史诗,2名队友（低HP优先，屏障除外）+350HP,,,Skill量表充能量+7.5%，永远套用所有水属性队友,,LV70
