content_id,name,rarity,element,role,slot,dmg_min,dmg_max,dmg_ignited,text,text_ignited
591546,纠缠的薇薇安,5星,光,辅助型,auto,102,691,,对目标造成102（691）自动攻击伤害,
591546,纠缠的薇薇安,5星,光,辅助型,tap,403,2589,2614,对目标造成403（2589）伤害1次完全充能：1名盟友（高攻击力）优先60（90.4）%概率减益效果时间缩短：14秒内，1名盟友（高攻击力）优先-20（42.8）%,对目标造成2614伤害1次 完全充能：2名盟友（高攻击力）优先90.4%概率 减益效果时间缩短：14秒内，2名盟友（高攻击力）优先-47.8%
591546,纠缠的薇薇安,5星,光,辅助型,slide,740,4061,4161,对2名暗属性敌人优先造成740（4061）伤害1次skill充能加速：16秒内，3名光属性盟友（高攻击力）+45（88.5）%弱化减益无效：14秒内，3名光属性盟友（高攻击力）70（90.1）%概率暴击率↑：16秒内，1名光属性盟友（PVP、攻击型）+50（72.1）%,对2名暗属性敌人优先造成4161伤害1次 skill充能加速：2回合内，3名光属性盟友（高攻击力）+88.5% 弱化减益无效：14秒内，3名光属性盟友（高攻击力）90.1%概率 暴击率↑：16秒内，2名光属性盟友（PVP、攻击型）+72.1%
591546,纠缠的薇薇安,5星,光,辅助型,drive,1907,6987,7317,对3名暗属性敌人优先造成1907（6987）伤害1次完全充能：3名盟友（skill充能忠）优先80%概率,对3名暗属性敌人优先造成7317伤害1次 完全充能：3名盟友（skill充能忠）优先80%概率移除减益效果：3名盟友（skill充能中）优先100%概率
591546,纠缠的薇薇安,5星,光,辅助型,leader,20,20,,skill充能加速：永远套用所有光属性盟友20%减益效果时间缩短：永远套用所有光属性盟友（PVP）-15%,
591541,混沌的彼列,5星,光,治疗型,auto,97,664,,对目标造成97（664）自动攻击伤害,
591541,混沌的彼列,5星,光,治疗型,tap,345,2360,2360,对2名敌人（低HP）造成345（2360）伤害1次最大HP↑：10秒内，2名盟友（低HP）+1200（1960）,对2名敌人（低HP）造成2360伤害1次 最大HP↑：14秒内，3名盟友（低HP）+2160
591541,混沌的彼列,5星,光,治疗型,slide,56,95,14,不死：14秒内，3名盟友（低HP）56（95）%概率生命连接：14秒内，3名盟友（低HP）优先+20（50.5）%减益效果无效：14秒内1次，3名盟友（PVP、低HP）100%概率,不死：14秒内，3名盟友（低HP）100%概率 生命连接：14秒内，3名盟友（低HP）优先+55.5% 减益效果无效：14秒内2次，3名盟友（PVP、低HP）100%概率
591541,混沌的彼列,5星,光,治疗型,drive,1619,6159,6159,对2名敌人（低HP）优先造成1619（6159）伤害1次最大HP↑：20秒内，3名盟友（低HP）+1800生命连接：20秒内，3名盟友（低HP）+50%,对3名敌人（低HP）优先造成6159伤害1次 最大HP↑：20秒内，4名盟友（低HP）+2000生命连接：20秒内，4名盟友（低HP）+50%
591541,混沌的彼列,5星,光,治疗型,leader,1000,1000,,最大HP↑：永远套用所有光属性盟友+1000起始效果：对自身100%概率减益效果无效：500秒内1次，2名光属性盟友（低HP）100%概率,
589618,大力无双哈索尔,5星,光,攻击型,auto,114,754,,对目标造成114（754）伤害1次,
