content_id,avatar_file,avatar_url,name,rarity,stat_pair,element_gate,role_gate,mode_gate,collab,special,plain_hp_init,plain_atk_init,plain_def_init,plain_agl_init,plain_crt_init,plain_hp_max,plain_atk_max,plain_def_max,plain_agl_max,plain_crt_max,flash_hp_init,flash_atk_init,flash_def_init,flash_agl_init,flash_crt_init,flash_hp_max,flash_atk_max,flash_def_max,flash_agl_max,flash_crt_max
595283,avatars/595283.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/6/19/972547.png,炎热夏日,5星,血攻,水,通用,通用,否,全部能力增加（普：250/350），被攻击时，恢复(普：190/210）HP,1342,792,,,,,,,,,1448,850,,,,,,,,
593141,avatars/593141.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/5/21/24105.png,坐在阳伞下,5星,血攻,通用,攻击,pvp,否,在PVP中装备时，攻击时回复300/325HP，有15/17%的几率移除增益,1342,792,,,,,,,,,1448,850,,,,,,,,
593125,avatars/593125.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/5/21/146863.png,海边的水枪大战,5星,攻暴,水,通用,5人巨型boss,否,5人巨型boss，装备时暴击时的加成伤害增加（普：15%/；闪：17%/）,,715,,,425,,,,,,,768,,,449,,,,,
591538,avatars/591538.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/4/27/229141.png,社长，打得好！,5星,血攻,暗,通用,5人巨型boss,否,在5人巨型boss中装备时，skill量表充能速度增加（普：10%/；闪：11%/）,1215,715,,,,,,,,,1311,768,,,,,,,,
589623,avatars/589623.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/3/26/226969.png,魔王后裔,5星,血攻,光,通用,5人巨型boss,否,在5人巨型boss中，攻击时回复HP（普：300/；闪：325/）,1200,700,,,,,,,,,1296,753,,,,,,,,
587029,avatars/587029.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/2/29/129018.png,莉莎的撞球技术,5星,血攻,火,通用,5人巨型boss,否,装备时，在5人巨型boss中发动攻击时回复HP（普：300/；闪：325/）,1200,700,,,,,,,,,1296,753,,,,,,,,
584753,avatars/584753.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_614/h_1024/202/40405/2023/1/28/627766.png,天才美少年的时间,5星,血防,暗,通用,pvp,否,装备时，在pvp中增加skill量表充能速度（普：5%/；闪：6%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
584752,avatars/584752.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/1/28/383065.png,我们一起度过的冬天,5星,血攻,水,通用,5人巨型boss,否,装备时，在5人巨型boss中发动攻击时回复HP（普：300/；闪：325/）,1200,700,,,,,,,,,1296,753,,,,,,,,
582294,avatars/582294.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/40405/2023/1/1/17720.png,平静的绵羊牧场,5星,血防,通用,通用,20人巨型boss,否,在20人巨型boss时，装备时增加减益回避率（普：13%/；闪：15%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
582300,avatars/582300.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/40405/2023/1/1/893756.png,如炎般光辉,5星,攻敏,火,通用,pve,否,装备时，在PVE中持续伤害增加（普：250/；闪：300/）,,700,,390,,,,,,,,753,,424,,,,,,
582298,avatars/582298.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/40405/2023/1/1/462979.png,亡命之徒,5星,血防,通用,防御,pvp,否,装备时，在PVP中持续伤害减益回避率增加（普：15%/；闪：16%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
582301,avatars/582301.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/1/1/666909.png,礼物已经到了,5星,血防,通用,干扰,太空漫步,否,装备时，在太空漫步中发动攻击时回复HP（普：300/；闪：325/）,1200,,660,,,,,,,,1296,,714,,,,,,,
582286,avatars/582286.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/40405/2023/1/1/774925.png,女神显现,5星,血敏,通用,辅助,pvp,否,在PVP中增加眩晕回避率（普：22%/；闪：23.5%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
582285,avatars/582285.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_614/h_1024/202/40405/2023/1/1/997603.png,被骑在头上的恶魔,5星,血敏,通用,通用,20人巨型boss,否,装备时，在20人巨型boss中减少诅咒伤害（普：150/；闪：170/）,1200,,,390,,,,,,,1296,,,424,,,,,,
582283,avatars/582283.png,https://cdnimg-v2.gamekee.com/wiki2.0/images/w_614/h_1024/202/40405/2023/1/1/282968.png,甜蜜的友情巧克力,5星,血敏,水,辅助,太空漫步,否,装备时，在太空漫步中减益回避率增加（普：13%/；闪：15%/）,1200,,,390,,,,,,,1296,,,424,,,,,,
582281,avatars/582281.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/40405/2023/1/1/58116.png,炼狱与地狱之间,5星,血攻,木,通用,5人巨型boss,否,装备时，在5人巨型boss中增加Skill量表充能速度（普：10/；闪：11/）,1200,700,,,,,,,,,1296,753,,,,,,,,
580155,avatars/580155.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/0/4/911324.png,来多点酒！,5星,血防,木,通用,pvp,否,准备时，在pvp中增加skill量表充能速度（普：5%/；闪：6%/）,1200,,660,,,,,,,,1296,,714,,,,,,,
580154,avatars/580154.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2023/0/4/124141.png,贵公子的新年,5星,攻敏,暗,攻击,5人巨型boss,否,在5人巨型boss装备时，增加最大攻击力（普：9%/；闪：11%/）,,700,,390,,,,,,,,753,,424,,,,,,
578000,avatars/578000.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2022/11/8/878727.png,多事的跨年晚会,5星,血防,通用,通用,通用,否,装备时，增加回复量9（10）%和持续回复量9（10）%,1200,,660,,,,,,,,1296,,714,,,,,,,
577999,avatars/577999.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2022/11/8/933482.png,妲比的特别派对时间,5星,攻暴,通用,攻击,pve,否,装备时，在pve中增加暴击率4（5）%和暴击伤害9（10）%,,700,,,410,,,,,,,753,,,434,,,,,
577997,avatars/577997.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2022/11/8/880309.png,Shall we dance？,5星,血防,通用,干扰,pvp,否,装备时，在pvp中增加弱化减益命中率15（16）%和持续伤害100（110）,1200,,660,,,,,,,,1296,,714,,,,,,,
577995,avatars/577995.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2022/11/8/771689.png,最美打扮,5星,血攻,木,通用,5人巨型boss,否,装备时，在5人巨型boss期间增加暴击skill伤害15（17）%并在受到攻击时恢复190（210）,1200,700,,,,,,,,,1296,753,,,,,,,,
577994,avatars/577994.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2022/11/8/153592.png,与你的夏日,5星,血攻,通用,攻击,太空漫步,否,装备时，在太空漫步中增加攻击力（普：10%/；闪：12%/）,1200,700,,,,,,,,,,,,,,,,,,
171917,avatars/171917.png,https://cdnimg.gamekee.com/wiki2.0/images/w_250/h_250/202/236746/2022/10/9/199230.png,纯粹的恶意,5星,攻敏,通用,攻击,pvp,否,在pvp中增加命中率（普：20%/；闪：21%/）,,700,,390,,,,,,,,753,,424,,,,,,
